area,count,total
南投縣中寮鄉,1,1000
南投縣南投市,1,1000
南投縣埔里鎮,3,21000
南投縣竹山鎮,1,200
南投縣草屯鎮,1,1000
嘉義市垂楊路,1,2000
嘉義市大業街,1,2000
嘉義市民生北,1,300
嘉義縣民雄鄉,1,100
基隆市碇內街,1,2000
宜蘭縣三星鄉,1,1000
宜蘭縣員山鄉,1,1000
宜蘭縣宜蘭市,3,16000
宜蘭縣宜蘭金,1,200
宜蘭縣羅東鎮,1,10000
屏東縣內埔鄉,1,2000
屏東縣屏東市,1,1000
屏東縣林邊鄉,2,2000
屏東縣長治鄉,2,1100
彰化縣彰化市,5,17500
彰化縣秀水鄉,1,500
新北市三芝區,1,500
新北市三重區,3,5000
新北市中和區,4,14100
新北市土城區,2,4040
新北市新店區,7,12800
新北市新莊區,2,11000
新北市板橋區,1,10000
新北市樹林區,3,4000
新北市永和區,3,112000
新北市汐止區,1,3000
新北市淡水區,1,15400
新北市鶯歌區,1,1000
新竹市東區福,1,2000
新竹市武陵路,1,200
新竹市經國路,1,1000
新竹縣湖口鄉,1,800
新竹縣竹北市,1,1000
桃園市中壢區,11,40000
桃園市中山北,2,2000
桃園市八德區,5,5261
桃園市大園區,2,2000
桃園市大有路,1,500
桃園市平鎮區,4,2500
桃園市桃園區,8,4535
桃園市蘆竹區,3,2000
桃園市龍潭區,1,2000
桃園市龜山區,2,2500
臺中市三民路,1,200
臺中市中區興,1,5000
臺中市中區雙,1,200
臺中市五權三,1,1000
臺中市北區忠,1,3000
臺中市北區漢,1,1000
臺中市北區育,1,10000
臺中市北區興,1,1000
臺中市北區陝,1,2000
臺中市北屯區,6,5100
臺中市南區三,1,300
臺中市南區學,1,2000
臺中市南區崇,1,500
臺中市南區忠,1,300
臺中市南區福,1,2000
臺中市南屯區,4,7500
臺中市后里區,1,100
臺中市大甲區,2,1100
臺中市大肚區,1,200
臺中市大里區,4,17600
臺中市大里路,1,1000
臺中市大雅區,2,2000
臺中市太平區,1,2000
臺中市忠明南,2,11000
臺中市東勢區,1,200
臺中市梧棲區,1,1000
臺中市清水區,1,1000
臺中市潭子區,4,4000
臺中市華美街,1,2000
臺中市西區梅,1,5000
臺中市西屯區,15,47650
臺中市豐原區,2,2500
臺北市中山區,4,8600
臺北市中正區,1,5000
臺北市信義區,2,103000
臺北市內湖區,1,1000
臺北市八德路,1,20000
臺北市北投區,2,5000
臺北市南昌路,1,1000
臺北市南港東,1,3000
臺北市合江街,1,1000
臺北市大同區,2,5000
臺北市大安區,7,8500
臺北市安和路,1,2000
臺北市延平北,1,500
臺北市建國南,1,6000
臺北市忠孝東,1,1000
臺北市忠誠路,1,300
臺北市文山區,7,48000
臺北市文山木,1,2000
臺北市松山區,2,1200
臺北市民權東,1,30000
臺北市甘谷街,1,100
臺北市石牌路,1,8000
臺北市葫蘆街,1,1000
臺北市金山南,1,2000
臺南市中華南,1,2000
臺南市中西區,3,3100
臺南市佳里區,2,3000
臺南市健康三,1,700
臺南市北區公,2,3000
臺南市北區北,1,2000
臺南市北區大,1,1000
臺南市北區成,1,2100
臺南市北園街,1,500
臺南市南區大,1,1000
臺南市南區德,1,500
臺南市善化區,1,1000
臺南市安平區,1,200
臺南市崇善七,1,500
臺南市新市區,1,100
臺南市新營區,2,5107
臺南市東區大,1,10000
臺南市東區崇,1,5000
臺南市東區德,1,1000
臺南市東區裕,2,1200
臺南市永康區,3,2000
臺南市龍崎區,1,2000
花蓮縣吉安鄉,1,1000
花蓮縣新城鄉,1,25000
花蓮縣花蓮市,7,6000
苗栗縣公館鄉,1,3000
苗栗縣竹南鎮,2,800
苗栗縣頭份市,1,5000
雲林縣斗六市,1,100
高雄市七賢一,2,45000
高雄市三民區,3,5600
高雄市仁武區,1,1000
高雄市前金區,1,500
高雄市前鎮區,5,8200
高雄市吳鳳南,1,3000
高雄市小港區,2,1500
高雄市左營區,1,500
高雄市新興區,4,13100
高雄市楠梓區,3,7000
高雄市橋頭區,1,2000
高雄市苓雅區,4,4500
高雄市阿蓮區,1,1000
高雄市鳥松區,1,3000
高雄市鳳山區,3,12000
高雄市鼓山區,2,4000
