area,count,total
上海市普陀區,1,1000
中正區,1,10000
介壽村號樓,1,1500
六路六街巷號,1,500
千葉県香取郡,1,5000
千葉縣香取郡,1,3000
南投市中興路,1,500
南投縣中寮鄉,18,22722
南投縣仁愛鄉,14,56300
南投縣信義鄉,9,12849
南投縣南投市,324,774988
南投縣名間鄉,60,80316
南投縣國姓鄉,19,120500
南投縣埔里鎮,156,312510
南投縣水里鄉,30,39377
南投縣竹山鎮,82,158812
南投縣草屯鎮,260,410746
南投縣西安路,1,2000
南投縣集集鎮,20,29300
南投縣魚池鄉,28,47500
南投縣鹿谷鄉,26,19350
南港區,1,1000
台中市中區,62,98040
台中市中山區,3,160000
台中市公益路,1,800
台中市北區,727,1515516
台中市北屯,5,3688
台中市北屯區,1561,3611497
台中市南區,680,1158104
台中市南屯,1,1000
台中市南屯區,971,3151222
台中市台中路,1,1000
台中市后里區,141,657323
台中市和平區,11,15700
台中市圓通南,1,300
台中市外埔區,77,109910
台中市大安區,42,30274
台中市大甲區,178,444131
台中市大肚區,140,188076
台中市大里,2,1300
台中市大里區,747,1451260
台中市大雅,2,1500
台中市大雅區,317,409634
台中市太平,3,3800
台中市太平區,733,1306602
台中市寶山東,1,1000
台中市新社區,38,126192
台中市東勢區,104,155365
台中市東區,260,557475
台中市梧棲區,177,299832
台中市沙鹿,2,500
台中市沙鹿區,349,496876
台中市清水,1,500
台中市清水區,238,553722
台中市潭子區,323,503586
台中市烏日區,334,740979
台中市石岡區,22,41000
台中市神岡,2,800
台中市神岡區,189,292734
台中市美村路,1,520
台中市西區,556,3948414
台中市西屯,8,16500
台中市西屯區,1500,4692170
台中市豐原,2,2000
台中市豐原區,575,1001970
台中市霧峰,1,300
台中市霧峰區,179,261541
台中市龍井,1,1000
台中市龍井區,246,564577
台北北門郵政,1,10000
台北市,1,1000
台北市中山,6,41000
台北市中山區,1545,5988005
台北市中正,6,33000
台北市中正區,884,3343300
台北市信義,4,11600
台北市信義區,1265,5596625
台北市光復南,1,10000
台北市內湖,8,6196
台北市內湖區,1781,6602455
台北市公館路,1,10000
台北市北投,3,6000
台北市北投區,1207,5928481
台北市南港,3,11500
台北市南港區,715,2800727
台北市士林,1,1000
台北市士林區,1189,5169848
台北市大同區,632,2117325
台北市大安區,1544,12268285
台北市文山區,1376,3803965
台北市新生南,1,50000
台北市木新路,1,5000
台北市松山健,2,20000
台北市松山區,1042,6151770
台北市林森北,1,20000
台北市民生東,5,90000
台北市永康街,1,15000
台北市汀洲路,1,200
台北市萬華區,743,2026971
台北市西園路,1,300
台北市銅山街,1,2000
台北市長春路,1,100000
台南市七股區,31,69877
台南市下營區,47,139500
台南市中西區,296,710752
台南市仁德區,254,356332
台南市佳里區,154,168912
台南市六甲區,45,50825
台南市北區,558,1504163
台南市北門區,7,15800
台南市南化區,2,1300
台南市南區,378,779192
台南市善化區,263,701984
台南市國平北,1,1000
台南市塩行路,1,1000
台南市大內區,9,11700
台南市學甲區,44,78224
台南市安南,1,300
台南市安南區,651,1151014
台南市安定,1,3000
台南市安定區,63,86100
台南市安平區,285,1047013
台南市官田,2,800
台南市官田區,52,99150
台南市將軍區,27,34720
台南市山上區,12,26298
台南市左鎮區,1,3000
台南市後壁區,28,32000
台南市新化,1,1000
台南市新化區,88,104153
台南市新市區,198,353628
台南市新營區,305,428854
台南市東區,723,1626816
台南市東山區,13,21200
台南市柳營區,32,36623
台南市楠西區,11,41000
台南市歸仁,3,3000
台南市歸仁區,196,350851
台南市永康,1,1000
台南市永康區,869,2021652
台南市溪美里,2,1000
台南市玉井區,12,11000
台南市白河區,48,189950
台南市西港區,53,47600
台南市關廟區,64,136200
台南市鹽水區,31,81511
台南市麻豆區,115,361795
台東縣卑南鄉,9,6400
台東縣台東市,2,31000
台東縣大武鄉,1,3000
台東縣太麻里,4,15300
台東縣延平鄉,2,2000
台東縣成功鎮,1,500
台東縣東河鄉,8,69300
台東縣池上,1,1000
台東縣池上鄉,13,12400
台東縣海端鄉,1,300
台東縣綠島鄉,6,6500
台東縣臺東,2,1500
台東縣臺東市,295,387198
台東縣蘭嶼鄉,2,1611
台東縣達仁鄉,1,300
台東縣金峰鄉,3,2500
台東縣長濱鄉,4,8500
台東縣關山鎮,3,1800
台東縣鹿野鄉,12,15124
嘉義市嘉義市,1,300
嘉義市東區,341,743230
嘉義市西區,465,1153639
嘉義市軍輝路,1,20000
嘉義縣中埔鄉,77,73800
嘉義縣六腳鄉,15,32200
嘉義縣大埔鄉,5,4000
嘉義縣大林鎮,73,634484
嘉義縣太保市,109,603834
嘉義縣布袋鎮,41,139400
嘉義縣新港鄉,38,49624
嘉義縣朴子市,61,149066
嘉義縣東石鄉,23,37100
嘉義縣梅山鄉,21,59824
嘉義縣民雄鄉,167,276800
嘉義縣水上,1,2000
嘉義縣水上鄉,95,180118
嘉義縣溪口鄉,17,49464
嘉義縣番路,1,1000
嘉義縣番路鄉,21,26600
嘉義縣竹崎鄉,44,85554
嘉義縣義竹鄉,10,9400
嘉義縣阿里山,4,9666
嘉義縣鹿草鄉,14,20416
基隆市七堵區,171,264009
基隆市中山區,154,236701
基隆市中正區,122,134767
基隆市仁愛,1,300
基隆市仁愛區,94,248302
基隆市信義,2,2000
基隆市信義區,198,397066
基隆市安樂,4,3800
基隆市安樂區,273,618907
基隆市暖暖區,131,226722
士林區,3,4000
宜蘭縣三星鄉,33,28700
宜蘭縣五結鄉,142,157749
宜蘭縣冬山,1,1000
宜蘭縣冬山鄉,155,285546
宜蘭縣員山,1,3000
宜蘭縣員山鄉,97,116811
宜蘭縣壯圍鄉,48,43698
宜蘭縣大同鄉,3,2200
宜蘭縣宜蘭市,416,825957
宜蘭縣礁溪,1,1000
宜蘭縣礁溪鄉,83,138784
宜蘭縣羅東,1,2000
宜蘭縣羅東鎮,229,357821
宜蘭縣蘇澳鎮,70,115100
宜蘭縣頭城鎮,60,184624
屏東市民教路,1,1000
屏東縣三地門鄉,5,2600
屏東縣九如,1,300
屏東縣九如鄉,60,88281
屏東縣佳冬鄉,9,16200
屏東縣來義鄉,6,3100
屏東縣內埔鄉,94,176288
屏東縣南州鄉,17,12800
屏東縣屏東,1,300
屏東縣屏東市,508,1167136
屏東縣崁頂鄉,6,9500
屏東縣恆春鎮,70,95758
屏東縣新園鄉,45,84659
屏東縣新埤鄉,12,106800
屏東縣春日鄉,1,1000
屏東縣東港鎮,90,135211
屏東縣枋寮鄉,26,23400
屏東縣枋山鄉,3,1500
屏東縣林邊鄉,7,5500
屏東縣滿州鄉,7,110549
屏東縣潮州鎮,128,265989
