money,name,id,owner,capital,status
4000000,亞東預拌混凝土股份有限公司,73641592,李坤炎,"1,590,750,000",核准設立
4000000,富民運輸股份有限公司,47075781,席家宜,"380,000,000",核准設立
3200000,東富投資股份有限公司,16446008,鄭澄宇,"1,500,000,000",核准設立
3000000,太平洋崇光百貨股份有限公司,21257316,黃晴雯,"15,000,000,000",核准設立
3000000,台北南鴻輪胎股份有限公司,84263300,張昌平,"36,000,000",核准設立
3000000,南港輪胎股份有限公司,11520909,張昌平,"10,000,000,000",核准設立
2800000,宏遠興業股份有限公司,22817999,席家宜,"5,600,000,000",核准設立
2600000,新潤建設股份有限公司,28490128,劉毅剛,"60,000,000",核准設立
2400000,漢來美食股份有限公司,80352343,賴宗成,"600,000,000",核准設立
2300000,福安礦業股份有限公司,27483964,林正良,"5,000,000",核准設立
2300000,佑神電子遊戲場業股份有限公司,89411961,凃佩勳,"500,000,000",核准設立
2300000,東徽企業股份有限公司,88663329,蔡琮翔,"1,200,000,000",核准設立
2270000,冠軍建材股份有限公司,49701774,林榮德,"4,500,000,000",核准設立
2000000,永記造漆工業(股)公司,75137605,張德仁,"1,800,000,000",核准設立
2000000,台灣櫻花股份有限公司,23113940,張永杰,"4,400,000,000",核准設立
2000000,潤隆建設股份有限公司,34149369,蔡聰賓,"3,600,000,000",核准設立
2000000,亞洲工程企業股份有限公司,05119864,張英豐,"81,143,970",核准設立
2000000,亨通興業有限公司,55783288,陳世志,"45,725,000",核准設立
2000000,永祥投資股份有限公司,16804911,張德盛,"60,000,000",核准設立
2000000,傑合國際有限公司,28719778,紀義鴻,"1,000,000",核准設立
2000000,元順興業有限公司,55784435,陳世志,"61,007,516",核准設立
2000000,雅適國際股份有限公司,16832727,張永杰,"320,000,000",核准設立
2000000,遠東新世紀股份有限公司,03522600,徐旭東,"60,000,000,000",核准設立
2000000,鼎元國際投資股份有限公司,16744288,蔡敏雄,"2,800,000,000",核准設立
2000000,裕元投資股份有限公司,22553878,陳春明,"5,500,000,000",核准設立
2000000,旺宏電子股份有限公司,22099548,吳敏求,"65,500,000,000",核准設立
2000000,達家玻璃膠股份有限公司,88729933,陳仁澤,"28,800,000",核准設立
2000000,裕民股份有限公司,04207221,徐雪芳,"92,000,000",核准設立
2000000,森岳傳播股份有限公司,53555534,陳世志,"223,373,780",核准設立
2000000,安和製衣股份有限公司,44967845,蔡敏雄,"1,000,000,000",核准設立
2000000,聯上開發股份有限公司,22659295,蘇永義,"3,500,000,000",核准設立
2000000,遠鼎股份有限公司,05707618,徐旭東,"6,000,000,000",核准設立
2000000,美港聯和股份有限公司,12950188,汪俊宏,"195,000,000",核准設立
