money,name,id,owner,capital,status,date_of_establishment
40632623,木可公關行銷有限公司,90012695,李文娟,"2,500,000",核准設立,2022-10-14
39181000,宏將傳媒股份有限公司,69443183,唐之芬,"1,000,000",核准設立,2018-4-25
35443122,尼奧創意行銷有限公司,80198686,戴利玲,"5,000,000",核准設立,2003-6-2
33389156,三立電視股份有限公司,23740512,林崑海,"1,782,000,000",核准設立,1990-5-7
27014200,民間全民電視股份有限公司,96975768,王明玉,"6,000,000,000",核准設立,1996-4-8
25144461,時樂股份有限公司,94212506,戴利玲,"6,000,000",核准設立,2023-9-20
24300900,年代網際事業股份有限公司,05091991,練台生,"1,808,000,000",核准設立,1981-6-3
24295000,東森電視事業股份有限公司,86121480,林文淵,"10,000,000,000",核准設立,1991-7-3
23650950,聲動創意股份有限公司,90867496,莫耀忠,"5,000,000",,2021-4-8
23045088,佳聖媒體行銷有限公司,28176937,李雅惠,"60,000,000",核准設立,2006-4-21
21450000,臺灣電視事業股份有限公司,20685000,黃　崧,"2,805,781,150",核准設立,1962-5-11
20308992,貝立德股份有限公司,70438244,豐田祐一,"120,000,000",核准設立,1999-9-27
17812065,潤嘉實業有限公司,27807773,林孟如,"10,000,000",核准設立,2005-6-3
17614950,紙風車劇團,77129428,,,,
17357603,東森新媒體控股股份有限公司,24328949,王令麟,"1,000,000,000",核准設立,2009-3-6
17350000,飛凡傳播股份有限公司,84938403,黃崧,"486,000,000",核准設立,1994-9-1
17225776,健豪印刷事業股份有限公司,16332027,葉翠蘭,"601,711,000",核准設立,1997-12-1
14709478,應援科技股份有限公司,83763685,蕭新晟,,核准設立,2020-6-2
14246000,凱普洛克國際傳媒股份有限公司,80652658,邱榮光,"30,000,000",核准設立,2003-12-12
13893000,喬商廣告股份有限公司,23289139,劉慶興,"20,000,000",核准設立,1989-3-30
12766147,山水民意研究股份有限公司,16135975,盧苔華,"5,000,000",核准設立,1997-7-21
12449811,威肯公共關係顧問股份有限公司,23898479,蕭展正,"20,000,000",核准設立,1990-9-18
12347578,強葳國際有限公司,27954964,林澄姿,"2,000,000",核准設立,2005-9-30
12063345,捷盛印務有限公司,27828931,林顏裕,"1,000,000",核准設立,2005-6-28
12000000,悠樂町有限公司,89158221,黃宣皓,"300,000",核准設立,2022-11-17
11500000,匠御室內裝修設計有限公司,82912477,林于皓,"1,000,000",核准設立,2019-6-21
11361900,威爾帝整合行銷有限公司,27722466,張永勝,"2,000,000",核准設立,2005-5-3
10870000,求真民意調查股份有限公司,90607366,李麗娟,"10,000,000",核准設立,2022-2-25
10779400,台灣摩菲爾國際股份有限公司,24312453,李潮旺,"65,300,000",核准設立,2008-12-8
10439748,趨勢民意調查股份有限公司,53121236,吳世昌,"30,000,000",核准設立,2010-12-30
10000000,蒔間有限公司,52632766,賀霖,"11,000,000",核准設立,2017-4-5
9596988,神采時尚事業股份有限公司,27592626,陳國欽,"100,000,000",核准設立,2005-1-7
9507457,宏遠興業股份有限公司,22817999,席家宜,"5,600,000,000",核准設立,1988-2-8
9246510,嘉宏國際開發股份有限公司,54365701,姜冠宇,"10,000,000",核准設立,2013-10-7
9157542,上好印刷股份有限公司,16722587,楊勝得,"150,150,000",核准設立,1998-12-29
9024760,天藝科技娛樂製作有限公司,54991513,余新華,"1,000,000",核准設立,2019-5-3
8744318,巨勳廣告工程有限公司,27397715,林淑芬,"10,000,000",核准設立,2004-7-13
8688860,活動預算有限公司,83004994,張家維,"1,539,999",核准設立,2023-3-13
8304080,潤豐創意行銷有限公司,83797587,林孟如,"1,000,000",核准設立,2020-5-13
7974900,大豐旗幟有限公司,22480165,蕭萬居,"6,000,000",核准設立,1987-4-16
7967092,鹹水文化製作有限公司,83479318,凌若凡,"100,000",核准設立,2020-3-13
7956500,戰天下有限公司,90071069,蘇意舜,"1,000,000",,2022-10-11
7240344,強打國際事業有限公司,28299874,陳凡雯,"5,000,000",核准設立,2007-1-2
7109160,幫推股份有限公司,45024822,王俊凱,"10,000,000",核准設立,2016-7-20
7019570,自由時報企業股份有限公司,52570683,林鴻邦,"70,000,000",核准設立,1980-4-17
7000560,富順美工廣告社,06567740,黃瑞蘭,"5,000",核准設立,1990-3-20
6927858,漁歌展業股份有限公司,96961862,蘇玉麟,"100,100,000",核准設立,1996-5-3
6896352,中國廣播股份有限公司,03708205,趙少康,"4,000,000,000",核准設立,1947-4-1
6890703,二三設計有限公司,25111904,蘇巧純,"3,200,000",核准設立,2010-3-18
6835907,三竹資訊股份有限公司,86136982,邱宏哲,"600,000,000",核准設立,1991-5-30
6692529,台灣高速鐵路股份有限公司,16446274,江耀宗,"120,000,000,000",核准設立,1998-5-11
6622706,鑫國企業有限公司,02630927,詹瑞美,"5,000,000",核准設立,1985-10-23
6550000,鏡電視股份有限公司,83726795,陳建平,"2,000,000,000",核准設立,2020-5-4
6549989,新耀整合行銷有限公司,80372495,許玉樟,"3,000,000",核准設立,2004-2-2
6303111,名偉廣告有限公司,28353503,林麗娟,"1,000,000",核准設立,2006-7-6
6286273,心一企業股份有限公司,89494723,戴進慶,"80,000,000",核准設立,1995-4-26
6269368,新順發米粉廠有限公司,84198174,鄭順,"10,000,000",核准設立,1993-3-3
6069644,創兆整合行銷有限公司,29010219,賴崑和,"1,000,000",核准設立,2009-1-5
6042555,欣傑舞台佈景工程有限公司,24274970,邵志傑,"2,000,000",核准設立,2008-12-4
6037500,環球七福廣告有限公司,22456025,廖婉池,"17,000,000",核准設立,1987-5-20
5923879,力天事業有限公司,53167886,陳巧臻,"1,000,000",核准設立,2010-10-13
5751540,聖洋科技股份有限公司,28112580,邱繼弘,"100,000,000",核准設立,2007-12-28
5728300,鑫傳國際多媒體科技股份有限公司,16089901,廖紫岑,"240,000,000",核准設立,1997-8-20
5629686,鵬程建設股份有限公司,84212470,吳霖懿,"2,150,000,000",核准設立,1993-3-18
5622282,鋒燦傳媒股份有限公司,89192945,黃秉鈞,,,2023-2-8
5550090,雷夫數據科技股份有限公司,85015031,沈士猷,,核准設立,2019-8-28
5511600,皮爾森數據股份有限公司,90805823,羅棋駿,"300,000",核准設立,2021-5-5
5500000,之誠室內裝潢有限公司,90349712,鍾志明,"100,000",核准設立,2022-7-15
5466280,昱盛印刷事業有限公司,86937040,曾林鑾,"25,000,000",核准設立,1992-9-10
5462105,宏得國際企業有限公司,52381640,陳安宏,"1,000,000",核准設立,2016-10-24
5430294,小雨企劃顧問有限公司,80748916,蔡溫哲,"2,000,000",核准設立,2004-4-7
5264828,陽明山有線電視股份有限公司,97168320,盧榮輝,"1,400,000,000",核准設立,1996-10-21
5251271,毅鴻企業社,18082735,江旻峰,"200,000",核准設立,2000-7-29
5232255,水黽創意有限公司,24334359,許惠嫦,"300,000",核准設立,2009-3-26
5087301,日將工程有限公司,50849471,許惠真,"100,000",核准設立,2018-9-10
4870328,勞動部勞工保險局,03769808,,,,
4808961,益品印刷有限公司,53680202,林麗玉,"2,000,000",核准設立,2012-1-16
4713850,打咩打咩新媒體股份有限公司,82999760,林建雄,"50,000,000",核准設立,2023-3-17
4650580,宜辰整合行銷有限公司,13088099,蔣啟聰,"1,000,000",核准設立,2002-2-19
4649875,立祿國際股份有限公司,53117042,岳品宏,"100,000,000",,2010-12-14
4647171,品國廣告事業有限公司,83619296,劉芷晴,"200,000",核准設立,2020-5-5
4500000,萬寶瓏企業有限公司,28553452,江壹塏,"5,000,000",核准設立,2007-1-3
4461040,金斧頭服裝行,21340238,高麗粧,"2,000",核准設立,2005-3-17
4460000,全勝整合設計行銷有限公司,42965552,徐國勝,"2,000,000",核准設立,2018-6-6
4454380,無可就樂音樂工作室,42504138,周恒毅,"178,000",核准設立,2017-9-20
4412332,嘉翊廣告實業有限公司,24249728,蔡建順,"300,000",核准設立,2008-10-16
4395363,華虹廣告社,12055280,曾勝郁,"100,000",核准設立,1990-4-30
4312074,燦坤生醫有限公司,94177178,許有坤,"100,000",核准設立,2023-9-11
4300000,海吉有限公司,90701876,陳怡蒨,"1,000,000",核准設立,2021-4-14
4269165,中國時報台中市分社,03798509,王丰,"5,480,000,000",核准設立,1958-12-29
4231150,大器廣告股份有限公司,53170974,徐瑋營,"5,000,000",核准設立,2010-10-19
4183538,上好生醫科技股份有限公司,83691183,楊勝得,"130,000,000",核准設立,2020-4-1
4175000,放言科技傳媒股份有限公司,42994655,周玉蔻,"12,000,000",,2018-3-6
