money,name,id,owner,capital,status,date_of_establishment
23500000,東森電視事業股份有限公司,86121480,林文淵,10000000000,核准設立,1991-7-3
21568900,年代網際事業股份有限公司,5091991,練台生,1808000000,核准設立,1981-6-3
21450000,臺灣電視事業股份有限公司,20685000,黃　崧,2805781150,核准設立,1962-5-11
19530000,民間全民電視股份有限公司,96975768,王明玉,6000000000,核准設立,1996-4-8
19500000,貝立德股份有限公司,70438244,豐田祐一,120000000,核准設立,1999-9-27
17350000,飛凡傳播股份有限公司,84938403,黃崧,486000000,核准設立,1994-9-1
14246000,凱普洛克國際傳媒股份有限公司,80652658,邱榮光,30000000,核准設立,2003-12-12
12505760,三立電視股份有限公司,23740512,林崑海,1782000000,核准設立,1990-5-7
9238150,威爾帝整合行銷有限公司,27722466,張永勝,2000000,核准設立,2005-5-3
9063638,宏遠興業股份有限公司,22817999,席家宜,5600000000,核准設立,1988-2-8
7949000,大豐旗幟有限公司,22480165,蕭萬居,6000000,核准設立,1987-4-16
7628913,鹹水文化製作有限公司,83479318,凌若凡,100000,核准設立,2020-3-13
6864160,幫推股份有限公司,45024822,王俊凱,10000000,核准設立,2016-7-20
6550000,鏡電視股份有限公司,83726795,陳建平,2000000000,核准設立,2020-5-4
5173849,力天事業有限公司,53167886,陳巧臻,1000000,核准設立,2010-10-13
5111023,新耀整合行銷有限公司,80372495,許玉樟,3000000,核准設立,2004-2-2
4305840,金斧頭服裝行,21340238,高麗粧,2000,核准設立,2005-3-17
4300000,海吉有限公司,90701876,陳怡蒨,1000000,核准設立,2021-4-14
4214440,自由時報企業股份有限公司,52570683,林鴻邦,70000000,核准設立,1980-4-17
3906580,無可就樂音樂工作室,42504138,周恒毅,178000,核准設立,2017-9-20
3500000,聯樂數位行銷股份有限公司,24499648,程懷昌,10000000,核准設立,2010-1-27
3337983,峰達視聽工程有限公司,42591772,陳霆政,1000000,核准設立,2015-8-21
3300000,門裡有文有限公司,90357091,詹琇閔,100000,核准設立,2022-6-15
3288807,應援科技股份有限公司,83763685,蕭新晟,,核准設立,2020-6-2
3265200,巨勳廣告工程有限公司,27397715,林淑芬,10000000,核准設立,2004-7-13
3150000,鋒燦傳媒股份有限公司,89192945,黃秉鈞,,,2023-2-8
3000000,藝術聚落股份有限公司,83135840,許懷文,100000,核准設立,2020-10-30
3000000,宏明目鏡店,88135165,賴柏燁,50000,核准設立,2021-2-9
2926250,裡外生活股份有限公司,94004155,高立杰,200000,核准設立,2023-7-19
2728426,興固興業有限公司,1990254,黃泰山,11000000,核准設立,1985-12-30
2576000,錢進科技有限公司,28850072,趙維君,20500000,核准設立,2008-3-7
2500000,皮爾森數據股份有限公司,90805823,羅棋駿,300000,核准設立,2021-5-5
2492050,宜辰整合行銷有限公司,13088099,蔣啟聰,1000000,核准設立,2002-2-19
2452865,上永旅行社有限公司,90294694,張巧瑩,1200000,核准設立,2022-8-26
2400000,宏將傳媒股份有限公司,69443183,唐之芬,1000000,核准設立,2018-4-25
2400000,文本映像有限公司,42969240,張瓊文,200000,核准設立,2018-6-22
2369776,須盡歡整合行銷有限公司,94177199,蔡智能,200000,核准設立,2023-9-11
2347000,神遊有限公司,53916853,伍博暘,1000000,核准設立,2012-7-24
2300000,吉祥影像股份有限公司,42622769,洪竹彥,1200000,核准設立,2015-7-21
2100000,目玉創意有限公司,52410096,羅麗鈴,2000000,核准設立,2016-11-4
2091000,三川娛樂有限公司,53946370,黃浩倫,600000,核准設立,2012-10-29
2071640,富雷克國際有限公司,12826560,林錫焜,6000000,核准設立,2001-6-22
2050000,提姆沃克影像工作室,10999262,林芬禎,200000,核准設立,2012-3-7
2029113,大千廣播電台股份有限公司,89543920,賴靜嫻,100000000,核准設立,1995-6-7
2000000,特毅克設計有限公司,52860199,吳映璠,1000000,核准設立,2017-7-19
2000000,喬商廣告股份有限公司,23289139,劉慶興,20000000,核准設立,1989-3-30
1950741,橙澄有限公司,83177165,李宏儒,1000000,核准設立,2020-7-29
1875000,無限映像製作有限公司,12661954,林炳煌,25200000,核准設立,2000-11-6
1863260,權曜企業社,81931953,黃柏翔,60000,核准設立,2019-10-25
1806209,台灣高鐵,16446274,江耀宗,120000000000,核准設立,1998-5-11
1714286,阿物科技股份有限公司,43401309,林思吾,100000000,核准設立,2016-3-31
1700000,海綿樹網路社群媒體股份有限公司,42615752,都業仁,10245000,核准設立,2015-7-1
1585000,詮躍整合行銷有限公司,42627764,馮彥詮,5000000,核准設立,2015-8-4
